No.;Time;Time 1;Time 2;Delay;Delay 1;Delay 2;Jitter;;
100;14,338474;14,338474;14,338474;0;0;-0,000145;-0,000145;;
101;14,338474;14,338474;14,338474;0;-0,000145;6,7E-05;0,000212;;
102;14,338474;14,338474;14,338619;0,000145;6,7E-05;-0,000294;-0,000361;;
103;14,338619;14,338619;14,338697;7,8E-05;-0,000294;0,000372;0,000666;;
104;14,338697;14,338697;14,339069;0,000372;0,000372;0;-0,000372;;
105;14,339069;14,339069;14,339069;0;0;-7,7E-05;-7,7E-05;;
106;14,339069;14,339069;14,339069;0;-7,7E-05;-4,4E-05;3,3E-05;;
107;14,339069;14,339069;14,339146;7,7E-05;-4,4E-05;-0,000146;-0,000102;;
108;14,339146;14,339146;14,339267;0,000121;-0,000146;-4,2E-05;0,000104;;
109;14,339267;14,339267;14,339534;0,000267;-4,2E-05;0,000241;0,000283;;
110;14,339534;14,339534;14,339843;0,000309;0,000241;1,9E-05;-0,000222;;
111;14,339843;14,339843;14,339911;6,8E-05;1,9E-05;-1,3E-05;-3,2E-05;;
112;14,339911;14,339911;14,33996;4,9E-05;-1,3E-05;3,3E-05;4,6E-05;;
113;14,33996;14,33996;14,340022;6,2E-05;3,3E-05;-0,000121;-0,000154;;
114;14,340022;14,340022;14,340051;2,9E-05;-0,000121;-8,5E-05;3,6E-05;;
115;14,340051;14,340051;14,340201;0,00015;-8,5E-05;-0,003;-0,002915;;
116;14,340201;14,340201;14,340436;0,000235;-0,003;0,003193;0,006193;;
117;14,340436;14,340436;14,343671;0,003235;0,003193;-8,7E-05;-0,00328;;
118;14,343671;14,343671;14,343713;4,2E-05;-8,7E-05;-0,000227;-0,00014;;
119;14,343713;14,343713;14,343842;0,000129;-0,000227;-0,004062;-0,003835;;
120;14,343842;14,343842;14,344198;0,000356;-0,004062;0,004156;0,008218;;
121;14,344198;14,344198;14,348616;0,004418;0,004156;3,9E-05;-0,004117;;
122;14,348616;14,348616;14,348878;0,000262;3,9E-05;-0,000306;-0,000345;;
123;14,348878;14,348878;14,349101;0,000223;-0,000306;0,000441;0,000747;;
124;14,349101;14,349101;14,34963;0,000529;0,000441;-0,006412;-0,006853;;
125;14,34963;14,34963;14,349718;8,8E-05;-0,006412;0,0065;0,012912;;
126;14,349718;14,349718;14,356218;0,0065;0,0065;0;-0,0065;;
127;14,356218;14,356218;14,356218;0;0;-0,00015;-0,00015;;
128;14,356218;14,356218;14,356218;0;-0,00015;-6,4E-05;8,6E-05;;
129;14,356218;14,356218;14,356368;0,00015;-6,4E-05;-1E-06;6,3E-05;;
130;14,356368;14,356368;14,356582;0,000214;-1E-06;-0,004755;-0,004754;;
131;14,356582;14,356582;14,356797;0,000215;-0,004755;0,004915;0,00967;;
132;14,356797;14,356797;14,361767;0,00497;0,004915;-0,005743;-0,010658;;
133;14,361767;14,361767;14,361822;5,5E-05;-0,005743;0,005798;0,011541;;
134;14,361822;14,361822;14,36762;0,005798;0,005798;-1E-04;-0,005898;;
135;14,36762;14,36762;14,36762;0;-1E-04;-4,9E-05;5,1E-05;;
136;14,36762;14,36762;14,36772;1E-04;-4,9E-05;0,000117;0,000166;;
137;14,36772;14,36772;14,367869;0,000149;0,000117;-6,6E-05;-0,000183;;
138;14,367869;14,367869;14,367901;3,2E-05;-6,6E-05;3E-05;9,6E-05;;
139;14,367901;14,367901;14,367999;9,8E-05;3E-05;-0,001742;-0,001772;;
140;14,367999;14,367999;14,368067;6,8E-05;-0,001742;0,001612;0,003354;;
141;14,368067;14,368067;14,369877;0,00181;0,001612;-0,01053;-0,012142;;
142;14,369877;14,369877;14,370075;0,000198;-0,01053;0,010556;0,021086;;
143;14,370075;14,370075;14,380803;0,010728;0,010556;0,000125;-0,010431;;
144;14,380803;14,380803;14,380975;0,000172;0,000125;-4,1E-05;-0,000166;;
145;14,380975;14,380975;14,381022;4,7E-05;-4,1E-05;-0,005426;-0,005385;;
146;14,381022;14,381022;14,38111;8,8E-05;-0,005426;0,005399;0,010825;;
147;14,38111;14,38111;14,386624;0,005514;0,005399;-8E-05;-0,005479;;
